# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 200
66 650 0 0.0 0.0 0.0
67 660 0 0.0 0.0 0.0
68 670 0 0.0 0.0 0.0
69 680 0 0.0 0.0 0.0
70 690 0 0.0 0.0 0.0
71 700 0 0.0 0.0 0.0
72 710 0 0.0 0.0 0.0
73 720 0 0.0 0.0 0.0
74 730 0 0.0 0.0 0.0
75 740 0 0.0 0.0 0.0
76 750 0 0.0 0.0 0.0
77 760 0 0.0 0.0 0.0
78 770 0 0.0 0.0 0.0
79 780 0 0.0 0.0 0.0
80 790 0 0.0 0.0 0.0
81 800 0 0.0 0.0 0.0
82 810 0 0.0 0.0 0.0
83 820 0 0.0 0.0 0.0
84 830 0 0.0 0.0 0.0
85 840 0 0.0 0.0 0.0
86 850 0 0.0 0.0 0.0
87 860 0 0.0 0.0 0.0
88 870 0 0.0 0.0 0.0
89 880 0 0.0 0.0 0.0
90 890 0 0.0 0.0 0.0
91 900 0 0.0 0.0 0.0
92 910 0 0.0 0.0 0.0
93 920 0 0.0 0.0 0.0
94 930 0 0.0 0.0 0.0
95 940 0 0.0 0.0 0.0
96 950 0 0.0 0.0 0.0
97 960 0 0.0 0.0 0.0
98 970 0 0.0 0.0 0.0
99 980 0 0.0 0.0 0.0
100 990 0 0.0 0.0 0.0
101 1000 0 0.0 0.0 0.0
102 1010 0 0.0 0.0 0.0
103 1020 0 0.0 0.0 0.0
104 1030 0 0.0 0.0 0.0
105 1040 0 0.0 0.0 0.0
106 1050 0 0.0 0.0 0.0
107 1060 0 0.0 0.0 0.0
108 1070 0 0.0 0.0 0.0
109 1080 0 0.0 0.0 0.0
110 1090 0 0.0 0.0 0.0
111 1100 0 0.0 0.0 0.0
112 1110 0 0.0 0.0 0.0
113 1120 0 0.0 0.0 0.0
114 1130 0 0.0 0.0 0.0
115 1140 0 0.0 0.0 0.0
116 1150 0 0.0 0.0 0.0
117 1160 0 0.0 0.0 0.0
118 1170 0 0.0 0.0 0.0
119 1180 0 0.0 0.0 0.0
120 1190 0 0.0 0.0 0.0
121 1200 0 0.0 0.0 0.0
122 1210 0 0.0 0.0 0.0
123 1220 0 0.0 0.0 0.0
124 1230 0 0.0 0.0 0.0
125 1240 0 0.0 0.0 0.0
126 1250 0 0.0 0.0 0.0
127 1260 0 0.0 0.0 0.0
128 1270 0 0.0 0.0 0.0
129 1280 0 0.0 0.0 0.0
130 1290 0 0.0 0.0 0.0
131 1300 0 0.0 0.0 0.0
132 1310 0 0.0 0.0 0.0
133 1320 0 0.0 0.0 0.0
134 1330 0 0.0 0.0 0.0
135 1340 0 0.0 0.0 0.0
136 1350 0 0.0 0.0 0.0
137 1360 0 0.0 0.0 0.0
138 1370 0 0.0 0.0 0.0
139 1380 0 0.0 0.0 0.0
140 1390 0 0.0 0.0 0.0
141 1400 0 0.0 0.0 0.0
142 1410 0 0.0 0.0 0.0
143 1420 0 0.0 0.0 0.0
144 1430 0 0.0 0.0 0.0
145 1440 0 0.0 0.0 0.0
146 1450 0 0.0 0.0 0.0
147 1460 0 0.0 0.0 0.0
148 1470 0 0.0 0.0 0.0
149 1480 0 0.0 0.0 0.0
150 1490 0 0.0 0.0 0.0
151 1500 0 0.0 0.0 0.0
152 1510 0 0.0 0.0 0.0
153 1520 0 0.0 0.0 0.0
154 1530 0 0.0 0.0 0.0
155 1540 0 0.0 0.0 0.0
156 1550 0 0.0 0.0 0.0
157 1560 0 0.0 0.0 0.0
158 1570 0 0.0 0.0 0.0
159 1580 0 0.0 0.0 0.0
160 1590 0 0.0 0.0 0.0
161 1600 0 0.0 0.0 0.0
162 1610 0 0.0 0.0 0.0
163 1620 0 0.0 0.0 0.0
164 1630 0 0.0 0.0 0.0
165 1640 0 0.0 0.0 0.0
166 1650 0 0.0 0.0 0.0
167 1660 0 0.0 0.0 0.0
168 1670 0 0.0 0.0 0.0
169 1680 0 0.0 0.0 0.0
170 1690 0 0.0 0.0 0.0
171 1700 0 0.0 0.0 0.0
172 1710 0 0.0 0.0 0.0
173 1720 0 0.0 0.0 0.0
174 1730 0 0.0 0.0 0.0
175 1740 0 0.0 0.0 0.0
176 1750 0 0.0 0.0 0.0
177 1760 0 0.0 0.0 0.0
178 1770 0 0.0 0.0 0.0
179 1780 0 0.0 0.0 0.0
180 1790 0 0.0 0.0 0.0
181 1800 0 0.0 0.0 0.0
182 1810 0 0.0 0.0 0.0
183 1820 0 0.0 0.0 0.0
184 1830 0 0.0 0.0 0.0
185 1840 0 0.0 0.0 0.0
186 1850 0 0.0 0.0 0.0
187 1860 0 0.0 0.0 0.0
188 1870 0 0.0 0.0 0.0
189 1880 0 0.0 0.0 0.0
190 1890 0 0.0 0.0 0.0
191 1900 0 0.0 0.0 0.0
192 1910 0 0.0 0.0 0.0
193 1920 0 0.0 0.0 0.0
194 1930 0 0.0 0.0 0.0
195 1940 0 0.0 0.0 0.0
196 1950 0 0.0 0.0 0.0
197 1960 0 0.0 0.0 0.0
198 1970 0 0.0 0.0 0.0
199 1980 0 0.0 0.0 0.0
200 1990 0 0.0 0.0 0.0
2000 200
1 0 201 0.000894945 0.000582829 0.000598812
2 10 200 0.000835843 0.000532793 0.00055908
3 20 199 0.00071567 0.000437693 0.000474619
4 30 198 0.00060406 0.000364972 0.000402578
5 40 197 0.000525081 0.000325137 0.000357156
6 50 196 0.000467786 0.00029031 0.000316417
7 60 195 0.00041394 0.000244801 0.000259957
8 70 194 0.000356885 0.00019821 0.000189476
9 80 193 0.000307918 0.000165589 0.000120065
10 90 192 0.000281618 0.000148204 6.1295e-05
11 100 191 0.000281252 0.000132926 1.44046e-05
12 110 190 0.000287998 0.000107973 -2.17813e-05
13 120 189 0.000282694 7.83257e-05 -4.59742e-05
14 130 188 0.000266593 5.26081e-05 -5.89444e-05
15 140 187 0.00024452 2.59877e-05 -6.59054e-05
16 150 186 0.000216299 -8.1169e-06 -6.93808e-05
17 160 185 0.000181556 -3.9757e-05 -6.48269e-05
18 170 184 0.000138218 -5.49253e-05 -4.8832e-05
19 180 183 8.78175e-05 -5.92639e-05 -2.81057e-05
20 190 182 3.7334e-05 -6.91307e-05 -1.15989e-05
21 200 181 -1.18366e-05 -8.71013e-05 -3.68929e-07
22 210 180 -6.55823e-05 -0.000103902 7.88655e-06
23 220 179 -0.00012386 -0.000112419 1.23418e-05
24 230 178 -0.000178721 -0.000112614 1.29604e-05
25 240 177 -0.00022182 -0.00010839 1.44018e-05
26 250 176 -0.00025071 -0.000105006 1.84296e-05
27 260 175 -0.000267984 -0.000105679 1.7408e-05
28 270 174 -0.00027559 -0.000106232 2.80666e-06
29 280 173 -0.000275553 -9.62099e-05 -2.08309e-05
30 290 172 -0.000268888 -7.53912e-05 -4.03347e-05
31 300 171 -0.000254971 -5.41118e-05 -5.22045e-05
32 310 170 -0.000239544 -4.03807e-05 -6.30338e-05
33 320 169 -0.000234434 -3.52752e-05 -7.46704e-05
34 330 168 -0.000244331 -2.78027e-05 -8.16728e-05
35 340 167 -0.000259701 -5.29065e-06 -7.7579e-05
36 350 166 -0.000263878 3.0447e-05 -6.12064e-05
37 360 165 -0.000248371 6.53394e-05 -4.13357e-05
38 370 164 -0.000226833 8.91735e-05 -2.75036e-05
39 380 163 -0.000225623 0.000108739 -1.79936e-05
40 390 162 -0.000244267 0.00012965 -3.78478e-06
41 400 161 -0.00025762 0.000142945 1.82497e-05
42 410 160 -0.000252139 0.000140423 4.43307e-05
43 420 159 -0.00024028 0.000131675 7.04309e-05
44 430 158 -0.000241235 0.000130149 9.61396e-05
45 440 157 -0.000258659 0.000136757 0.000122345
46 450 156 -0.000276887 0.000148633 0.000149265
47 460 155 -0.000277129 0.000167014 0.000172674
48 470 154 -0.000259759 0.000192027 0.000185296
49 480 153 -0.000240069 0.000215242 0.000185697
50 490 152 -0.000225886 0.000230339 0.000181786
51 500 151 -0.000207332 0.00023673 0.000181226
52 510 150 -0.000168181 0.000236544 0.000182638
53 520 149 -0.00010751 0.000230286 0.000178283
54 530 148 -4.26276e-05 0.000215035 0.000165497
55 540 147 2.35007e-06 0.000190106 0.000149542
56 550 146 2.44086e-05 0.000160423 0.000136093
57 560 145 3.94466e-05 0.000140532 0.000125923
58 570 144 5.18879e-05 0.000146518 0.000115632
59 580 143 5.59272e-05 0.000169835 9.94592e-05
60 590 142 4.78771e-05 0.000185345 7.44939e-05
61 600 141 2.71958e-05 0.000183025 4.28616e-05
62 610 140 5.30793e-07 0.000171049 8.70812e-06
63 620 139 -2.56615e-05 0.000162715 -2.51694e-05
64 630 138 -4.65933e-05 0.000163843 -5.91286e-05
65 640 137 -5.84532e-05 0.000169118 -9.64731e-05
66 650 136 -5.70871e-05 0.000170189 -0.000138045
67 660 135 -3.53576e-05 0.000164675 -0.000179571
68 670 134 9.57933e-06 0.000159828 -0.000213201
69 680 133 7.37435e-05 0.000159935 -0.000234477
70 690 132 0.000144812 0.000153602 -0.000244065
71 700 131 0.000205577 0.000130911 -0.000243512
72 710 130 0.00025098 9.95708e-05 -0.000231666
73 720 129 0.000284269 7.21793e-05 -0.000207187
74 730 128 0.00030535 4.80305e-05 -0.00017605
75 740 127 0.000310805 1.95411e-05 -0.000145657
76 750 126 0.000292296 -5.38263e-06 -0.000114714
77 760 125 0.000252421 -1.26887e-05 -8.26059e-05
78 770 124 0.000211944 -1.7103e-06 -5.71962e-05
79 780 123 0.000186419 1.29538e-05 -4.21309e-05
80 790 122 0.00017371 8.72785e-06 -2.88865e-05
81 800 121 0.000171143 -2.43458e-05 -1.11682e-05
82 810 120 0.000176436 -6.50163e-05 5.3133e-06
83 820 119 0.000185585 -8.43476e-05 1.10535e-05
84 830 118 0.000194757 -8.22749e-05 1.4559e-06
85 840 117 0.000192146 -8.27209e-05 -1.96773e-05
86 850 116 0.000170363 -9.3571e-05 -3.99287e-05
87 860 115 0.000136158 -0.000100411 -4.80146e-05
88 870 114 0.000108609 -9.78973e-05 -5.00757e-05
89 880 113 9.73514e-05 -9.41571e-05 -6.2253e-05
90 890 112 8.91635e-05 -9.70422e-05 -8.54097e-05
91 900 111 6.52667e-05 -0.000104492 -0.000105004
92 910 110 1.93737e-05 -0.000106268 -0.000109905
93 920 109 -3.64208e-05 -9.90205e-05 -9.61259e-05
94 930 108 -7.75646e-05 -9.09317e-05 -6.76015e-05
95 940 107 -9.15835e-05 -8.70785e-05 -3.75826e-05
96 950 106 -9.60724e-05 -7.72855e-05 -1.76658e-05
97 960 105 -0.000113939 -4.9928e-05 -4.18932e-06
98 970 104 -0.00014808 -1.19528e-05 2.00287e-05
99 980 103 -0.000189126 1.94125e-05 6.44014e-05
100 990 102 -0.000222058 3.92031e-05 0.0001165
101 1000 101 -0.000243603 5.47039e-05 0.000154671
102 1010 100 -0.000268531 6.663e-05 0.000170422
103 1020 99 -0.000305129 6.91537e-05 0.000172805
104 1030 98 -0.000343534 7.1347e-05 0.000175055
105 1040 97 -0.000364804 9.18953e-05 0.000182697
106 1050 96 -0.00035991 0.000138844 0.000188952
107 1060 95 -0.000334821 0.000196541 0.000179256
108 1070 94 -0.000302862 0.000242746 0.000148617
109 1080 93 -0.000269477 0.000273326 0.000112808
110 1090 92 -0.000228987 0.000295783 9.18685e-05
111 1100 91 -0.000181824 0.000310634 8.39553e-05
112 1110 90 -0.000136304 0.000311206 6.86533e-05
113 1120 89 -0.000103452 0.00029653 3.84957e-05
114 1130 88 -9.23269e-05 0.000276291 6.004e-06
115 1140 87 -9.59476e-05 0.000260685 -1.99639e-05
116 1150 86 -9.82067e-05 0.000252813 -3.84852e-05
117 1160 85 -0.000103622 0.000248423 -5.23229e-05
118 1170 84 -0.000121727 0.000242841 -6.45469e-05
119 1180 83 -0.000148483 0.000237168 -6.95586e-05
120 1190 82 -0.000176783 0.000221354 -6.0954e-05
121 1200 81 -0.000193629 0.00017962 -5.16658e-05
122 1210 80 -0.000189941 0.000121116 -6.00255e-05
123 1220 79 -0.000160919 7.39957e-05 -8.24215e-05
124 1230 78 -0.000107752 4.52866e-05 -9.97709e-05
125 1240 77 -3.268e-05 1.26963e-05 -0.000107946
126 1250 76 6.48565e-05 -3.50035e-05 -0.000122279
127 1260 75 0.000167765 -8.02582e-05 -0.000152129
128 1270 74 0.000249644 -0.000102833 -0.000187294
129 1280 73 0.000304967 -9.91999e-05 -0.000211002
130 1290 72 0.000341958 -8.54161e-05 -0.000216817
131 1300 71 0.000364902 -8.34905e-05 -0.0002106
132 1310 70 0.000373456 -9.37706e-05 -0.000200765
133 1320 69 0.000357837 -0.000106657 -0.000187584
134 1330 68 0.000321687 -0.000119895 -0.00016865
135 1340 67 0.000300199 -0.000134835 -0.000146954
136 1350 66 0.00031881 -0.000144665 -0.000123326
137 1360 65 0.000375564 -0.000138978 -8.73694e-05
138 1370 64 0.000445878 -0.0001327 -2.52253e-05
139 1380 63 0.000503354 -0.000150842 5.67878e-05
140 1390 62 0.000529321 -0.00018469 0.000133215
141 1400 61 0.00052545 -0.000202449 0.000185285
142 1410 60 0.000529433 -0.000189206 0.000203067
143 1420 59 0.000583716 -0.000152936 0.00019
144 1430 58 0.000678397 -0.000106272 0.000166887
145 1440 57 0.000757887 -6.09109e-05 0.00016153
146 1450 56 0.000775428 -2.99594e-05 0.000186192
147 1460 55 0.000744378 -6.75193e-06 0.000219871
148 1470 54 0.00070665 2.26134e-05 0.000225055
149 1480 53 0.000685471 4.12288e-05 0.000188927
150 1490 52 0.000672192 2.8801e-05 0.000132319
151 1500 51 0.000638127 -8.76923e-06 8.97288e-05
152 1510 50 0.000578639 -6.35223e-05 7.86896e-05
153 1520 49 0.000520159 -0.000123566 8.56503e-05
154 1530 48 0.000485185 -0.00016713 9.02315e-05
155 1540 47 0.000481397 -0.000181345 9.59539e-05
156 1550 46 0.000493417 -0.000164794 0.000119923
157 1560 45 0.000490633 -0.000128103 0.000162758
158 1570 44 0.000465258 -7.49984e-05 0.000206106
159 1580 43 0.000436087 -1.01523e-05 0.000245242
160 1590 42 0.000407599 5.35824e-05 0.000287055
161 1600 41 0.000363808 9.45994e-05 0.000320166
162 1610 40 0.000295485 0.000100407 0.000322038
163 1620 39 0.000204404 8.37626e-05 0.0002942
164 1630 38 9.0159e-05 7.06363e-05 0.000264744
165 1640 37 -5.6632e-05 8.05221e-05 0.000256845
166 1650 36 -0.000210614 0.00010403 0.000251918
167 1660 35 -0.00032351 0.000127443 0.000213909
168 1670 34 -0.000396514 0.000145376 0.000130185
169 1680 33 -0.000442309 0.000163404 1.59938e-05
170 1690 32 -0.000495467 0.000170224 -9.30608e-05
171 1700 31 -0.000602427 0.00014295 -0.00016804
172 1710 30 -0.000751496 8.7508e-05 -0.000227803
173 1720 29 -0.000880924 3.24672e-05 -0.000301595
174 1730 28 -0.000997052 -3.11852e-06 -0.000378521
175 1740 27 -0.0011474 -2.751e-05 -0.000431605
176 1750 26 -0.00132391 -4.85089e-05 -0.000451263
177 1760 25 -0.00149881 -6.87915e-05 -0.000447928
178 1770 24 -0.00166924 -9.72749e-05 -0.000438702
179 1780 23 -0.00182797 -0.00011629 -0.00043913
180 1790 22 -0.00194671 -0.000100044 -0.000447073
181 1800 21 -0.0020065 -6.56848e-05 -0.0004354
182 1810 20 -0.00202432 -3.55101e-05 -0.000388341
183 1820 19 -0.00201771 -6.47085e-07 -0.000327501
184 1830 18 -0.0020024 4.72256e-05 -0.000292254
185 1840 17 -0.00199436 0.00011252 -0.000290652
186 1850 16 -0.00199054 0.000166135 -0.000256707
187 1860 15 -0.00196218 0.000178784 -0.000147857
188 1870 14 -0.00193924 0.000156638 -5.15866e-05
189 1880 13 -0.00195089 0.000112202 -6.55105e-05
190 1890 12 -0.00197556 2.90157e-05 -0.000151588
191 1900 11 -0.00199314 -9.66842e-05 -0.000181666
192 1910 10 -0.00199548 -0.000200966 -9.17919e-05
193 1920 9 -0.00193774 -0.000235154 4.13156e-05
194 1930 8 -0.00189158 -0.000246107 7.90639e-05
195 1940 7 -0.00201394 -0.000245139 -1.98257e-05
196 1950 6 -0.00218422 -0.000168872 -0.000125545
197 1960 5 -0.00216608 -7.70934e-06 -0.000117011
198 1970 4 -0.0019312 0.000108627 -3.06978e-05
199 1980 3 -0.00172129 0.00011098 -5.89779e-05
200 1990 2 -0.00162609 0.000220904 -0.000289026
4000 200
1 0 401 0.000684072 0.000690003 0.000638505
2 10 400 0.000626108 0.000643548 0.000594053
3 20 399 0.000506027 0.000545336 0.000495098
4 30 398 0.000402853 0.000463462 0.00040372
5 40 397 0.00034558 0.000415947 0.000342999
6 50 396 0.00031497 0.000379098 0.000298322
7 60 395 0.000282906 0.000333268 0.000250759
8 70 394 0.000240723 0.000282213 0.000195417
9 80 393 0.000198782 0.000240519 0.000138572
10 90 392 0.000168694 0.000214513 8.73103e-05
11 100 391 0.00015482 0.000195452 4.53078e-05
12 110 390 0.0001523 0.000170925 1.41221e-05
13 120 389 0.00015396 0.000138951 -5.00387e-06
14 130 388 0.000157739 0.000106448 -1.36376e-05
15 140 387 0.000159626 7.74945e-05 -1.71169e-05
16 150 386 0.000151999 5.05618e-05 -1.89468e-05
17 160 385 0.000133305 2.57594e-05 -1.76721e-05
18 170 384 0.000111225 5.76145e-06 -1.34586e-05
19 180 383 9.69252e-05 -1.07911e-05 -1.26101e-05
20 190 382 9.43242e-05 -2.7312e-05 -2.05578e-05
21 200 381 9.53826e-05 -4.15424e-05 -3.53248e-05
22 210 380 8.70817e-05 -4.8922e-05 -5.22738e-05
23 220 379 6.45368e-05 -4.90271e-05 -6.94562e-05
24 230 378 3.2641e-05 -4.47582e-05 -8.54043e-05
25 240 377 4.63577e-07 -3.95668e-05 -9.60734e-05
26 250 376 -2.49472e-05 -3.76407e-05 -9.81749e-05
27 260 375 -4.25042e-05 -3.98835e-05 -9.32169e-05
28 270 374 -5.40947e-05 -3.80898e-05 -8.60029e-05
29 280 373 -5.9143e-05 -2.38506e-05 -7.88309e-05
30 290 372 -5.58452e-05 -3.1344e-06 -6.94933e-05
31 300 371 -4.87813e-05 9.57754e-06 -5.4845e-05
32 310 370 -4.81986e-05 1.02716e-05 -3.26865e-05
33 320 369 -5.8489e-05 8.57594e-06 -3.96407e-06
34 330 368 -7.23464e-05 1.52261e-05 2.39695e-05
35 340 367 -7.88735e-05 3.26654e-05 4.31478e-05
36 350 366 -7.58498e-05 5.37546e-05 5.20049e-05
37 360 365 -6.92682e-05 6.92778e-05 5.25656e-05
38 370 364 -6.61671e-05 7.79927e-05 4.82333e-05
39 380 363 -7.12111e-05 8.46231e-05 4.54459e-05
40 390 362 -8.3193e-05 8.94327e-05 4.99302e-05
41 400 361 -9.62644e-05 8.54112e-05 5.90819e-05
42 410 360 -0.000104517 6.90933e-05 6.46933e-05
43 420 359 -0.000106404 4.97816e-05 6.42585e-05
44 430 358 -0.000102954 3.77072e-05 6.32033e-05
45 440 357 -9.50047e-05 3.18173e-05 6.79228e-05
46 450 356 -8.31025e-05 2.75181e-05 8.06813e-05
47 460 355 -7.10521e-05 2.66197e-05 9.80332e-05
48 470 354 -6.73874e-05 3.16379e-05 0.000114094
49 480 353 -7.39308e-05 3.89784e-05 0.000126577
50 490 352 -7.79134e-05 4.39396e-05 0.000138725
51 500 351 -6.27574e-05 4.44876e-05 0.000153549
52 510 350 -2.39583e-05 4.04835e-05 0.000169327
53 520 349 2.54679e-05 3.13453e-05 0.00018229
54 530 348 6.49231e-05 1.72168e-05 0.000192169
55 540 347 8.01811e-05 -7.67724e-07 0.000202535
56 550 346 7.58812e-05 -2.13753e-05 0.000214774
57 560 345 6.75709e-05 -3.94827e-05 0.000225054
58 570 344 6.38436e-05 -4.94886e-05 0.000228181
59 580 343 6.3157e-05 -5.45958e-05 0.000221601
60 590 342 5.63417e-05 -6.17557e-05 0.000208137
61 600 341 3.34326e-05 -6.97048e-05 0.000193479
62 610 340 -4.66737e-06 -7.22364e-05 0.000180354
63 620 339 -4.55296e-05 -6.88847e-05 0.000167387
64 630 338 -7.23846e-05 -6.53795e-05 0.000152764
65 640 337 -7.52117e-05 -6.54142e-05 0.000136783
66 650 336 -5.74059e-05 -6.64889e-05 0.000120573
67 660 335 -3.00042e-05 -6.36551e-05 0.000103135
68 670 334 -1.12231e-06 -5.42493e-05 8.29353e-05
69 680 333 3.03128e-05 -4.10086e-05 6.09549e-05
70 690 332 6.58372e-05 -3.27176e-05 3.99693e-05
71 700 331 9.83629e-05 -3.41148e-05 2.02818e-05
72 710 330 0.000120962 -3.91661e-05 2.61866e-07
73 720 329 0.00013662 -4.24186e-05 -1.94113e-05
74 730 328 0.000151659 -4.81316e-05 -3.7368e-05
75 740 327 0.000164915 -6.17095e-05 -5.23675e-05
76 750 326 0.00016754 -7.8613e-05 -6.12377e-05
77 760 325 0.00015695 -8.89753e-05 -6.24683e-05
78 770 324 0.000142468 -8.88884e-05 -6.09536e-05
79 780 323 0.000133052 -8.46271e-05 -6.39736e-05
80 790 322 0.000127193 -8.81966e-05 -7.31127e-05
81 800 321 0.00011976 -0.000106136 -8.44688e-05
82 810 320 0.000108902 -0.000130589 -9.51265e-05
83 820 319 9.66453e-05 -0.000146776 -0.00010535
84 830 318 8.51435e-05 -0.000150972 -0.00011489
85 840 317 7.17355e-05 -0.000152175 -0.000119274
86 850 316 5.51342e-05 -0.000155629 -0.00011235
87 860 315 4.13408e-05 -0.000159551 -9.40152e-05
88 870 314 3.94436e-05 -0.000167151 -7.46671e-05
89 880 313 5.15187e-05 -0.000182807 -6.62912e-05
90 890 312 7.04422e-05 -0.000199498 -6.98379e-05
91 900 311 8.77073e-05 -0.00020498 -7.57687e-05
92 910 310 9.84289e-05 -0.0001973 -7.43991e-05
93 920 309 0.000100565 -0.000186393 -6.27281e-05
94 930 308 9.61187e-05 -0.000181891 -4.54927e-05
95 940 307 9.09954e-05 -0.000183351 -2.94894e-05
96 950 306 8.88027e-05 -0.000184101 -1.66468e-05
97 960 305 8.86458e-05 -0.000179803 -2.82788e-06
98 970 304 8.83757e-05 -0.000171706 1.72725e-05
99 980 303 8.55125e-05 -0.000164342 4.44699e-05
100 990 302 7.89097e-05 -0.000159927 7.23139e-05
101 1000 301 6.44116e-05 -0.000154762 9.06657e-05
102 1010 300 3.72393e-05 -0.000144793 9.54483e-05
103 1020 299 5.11328e-06 -0.00013299 9.37762e-05
104 1030 298 -1.44201e-05 -0.000122799 9.65969e-05
105 1040 297 -1.12005e-05 -0.000110349 0.000108628
106 1050 296 3.86407e-06 -8.94502e-05 0.000126029
107 1060 295 9.55703e-06 -6.11275e-05 0.000140697
108 1070 294 -1.96498e-06 -3.26502e-05 0.000146674
109 1080 293 -1.78203e-05 -1.04948e-05 0.000146723
110 1090 292 -1.90948e-05 2.20542e-06 0.000150884
111 1100 291 -8.84832e-07 6.47784e-06 0.000162453
112 1110 290 2.57121e-05 6.39637e-06 0.000172374
113 1120 289 4.46155e-05 5.46439e-06 0.000174328
114 1130 288 4.63884e-05 5.31487e-06 0.000171852
115 1140 287 3.56429e-05 7.43085e-06 0.000168846
116 1150 286 2.43912e-05 9.89624e-06 0.000164975
117 1160 285 1.63595e-05 5.08601e-06 0.000159094
118 1170 284 6.80111e-06 -9.42847e-06 0.000152241
119 1180 283 -9.55945e-06 -2.45049e-05 0.0001478
120 1190 282 -3.2576e-05 -3.2883e-05 0.000146752
121 1200 281 -5.29919e-05 -3.80396e-05 0.000143908
122 1210 280 -6.06427e-05 -4.51666e-05 0.000133149
123 1220 279 -5.00518e-05 -5.37527e-05 0.000114215
124 1230 278 -2.04039e-05 -6.0253e-05 9.14979e-05
125 1240 277 2.38401e-05 -6.28641e-05 6.77058e-05
126 1250 276 7.29499e-05 -6.09711e-05 4.0511e-05
127 1260 275 0.000111994 -5.63728e-05 7.56357e-06
128 1270 274 0.000130351 -5.44496e-05 -2.88417e-05
129 1280 273 0.000133436 -5.51305e-05 -6.61004e-05
130 1290 272 0.000134353 -5.2365e-05 -0.000103676
131 1300 271 0.00013827 -4.69032e-05 -0.000139024
132 1310 270 0.000138284 -4.70158e-05 -0.000166908
133 1320 269 0.000123857 -5.91811e-05 -0.000183487
134 1330 268 9.80985e-05 -8.08634e-05 -0.00018859
135 1340 267 8.1482e-05 -0.000102073 -0.000184346
136 1350 266 8.84825e-05 -0.000114728 -0.000173171
137 1360 265 0.000111417 -0.000118605 -0.000157267
138 1370 264 0.000127079 -0.000117775 -0.00013824
139 1380 263 0.000121371 -0.000114149 -0.000116188
140 1390 262 9.97649e-05 -0.000106188 -9.06684e-05
141 1400 261 7.78189e-05 -9.27991e-05 -6.40937e-05
142 1410 260 6.97475e-05 -7.75757e-05 -4.16953e-05
143 1420 259 8.271e-05 -6.52433e-05 -2.73005e-05
144 1430 258 0.000112931 -5.2614e-05 -2.2101e-05
145 1440 257 0.000148096 -3.26686e-05 -2.49407e-05
146 1450 256 0.000175628 -9.18596e-06 -3.20208e-05
147 1460 255 0.000192272 8.27397e-06 -3.9603e-05
148 1470 254 0.000202822 1.98474e-05 -4.77072e-05
149 1480 253 0.000215165 3.03621e-05 -5.90766e-05
150 1490 252 0.000231109 3.88048e-05 -7.43179e-05
